"爐子型號"	"爐子挖孔尺寸"
"DS840左大槽"	"外徑：84×51.5×20cm
內徑：77×44/36cm"
"dws-100"	"直徑102 MM"
"E-2826"	"270*492*R5"
"E-2839"	"280*485*R5"
"E-2861"	"560*490*R5"
"EG-2331"	"680*410"
"E-730"	"70.4*41.2 cm"
"EDS-850P2"	"外徑: 850*510*185MM
內徑: 775*355*185MM"
"EG-110"	"270*490*R10"
"EG-120"	"685*413*R10"
"EG-2012GB"	"274*350*R10"
"G-6500G"	"670*325"
"EHD8740FOX"	"750*490*R5"
"EG-2012GBA"	"274*350*R10"
"EG-2013"	"270*490*R10"
"EG-2013GB"	"270*490*R10"
"EG-2201B"	"662*352*R5"
"EG-2201BP"	"662*352*R5"
"EG-2230"	"270*490*R10"
"EG-2230GB"	"270*490*R10"
"JT-IH128"	"270*490"
"EG-2301BN"	"挖孔尺寸:732*472 R105"
"EG-2330GB"	"680*410*R10"
"TEKA7210"	"695*370*R5"
"EG2012GBA"	"274×350xR5"
"EG2012GBA"	"挖孔尺寸：274×350  孔深150mm  R10"
"G-6900S"	"670x325xR2"
"RB71AM5U32R-VW-TR"	"565*460*R10-6.5"
"SR-200T"	"260*275*R3"
"IG-6201G"	"W560*H90*D490"
"RB-2231"	"720*425"
"GH7050-R"	"704*412"
"EG2013GB"	"270×490x150 (R10)"
"EGT-9637"	"832*470"
"G-2830KGB"	"728*468*R113"
"EGT-9637CKN"	"832*470"
"EGT7267CKN"	"732*421*R61"
"EGT7427CK"	"W732*D421"
"EGT7627CKN"	"732*421"
"EGT9437CK"	"832*470"
"EGT9637"	"W832xD470mm"
"EHD-8740FOK"	"750*490"
"EHD8740FOK"	"面:780/520
挖752*492*R5"
"EHF-3320FOX"	"270*490"
"EHH3320NVK"	"面 290*520
挖 270*490*R5"
"EHL-9530FOK"	"880*380"
"EHL9530FOK"	"W882xD382mmxR5"
"EHX8H10FBK"	"751*491*R5"
"EK-E227D"	"710*368*R4"
"EMF1A"	"285*490*R5"
"EMF1 TC10500"	"285*490"
"EQH4512BOZ"	"342*492*R5"
"F-8546S"	"前沿70開挖800X411"
"F1-602"	"內徑:600*410*220"
"F7446"	"外徑尺寸 : 740×460
內徑尺寸 : 700×420(方型可挖W3-2MM)"
"FUJITON 293G"	"817*447*R5"
"FW-559/136"	"外徑尺寸 :590×510×230H
內徑尺寸 :540×445×230H"
"FW559"	"外徑尺寸 :590×510×230H
內徑尺寸 :540×430×230H"
"G-2110"	"285*485*R12"
"G-2112"	"挖285*485*R12
面315*510"
"G-2230GB"	"270*490*R10"
"G-2511KG"	"670*350*R85"
"G-251K"	"270*390"
"G-2522"	"670*350*R85"
"G-2522G"	"670*350*R85"
"G-2522GB"	"670*350*R85"
"G-2522GW"	"670*350*R85"
"G-2522S"	"670*350*R85"
"G-2623G"	"728*468*R113"
"G-2623S"	"728*468*R113"
"G-2632"	"728*468*R113"
"G-2632KGB"	"728*468*R113"
"G-2633"	"728*468*R113"
"G-2633G"	"728*468*R113"
"G-2633GB"	"728*468*R113"
"G-2633GWL"	"728*468*R113"
"G-2633S"	"728*468*R113"
"G-2720"	"670*350*R85"
"G-2720KG"	"670*350*R85"
"G-2720KGB"	"670*350*R30"
"G-2720KS"	"670*350*R85"
"G-2720KS"	"670*350*R85"
"G-2722"	"670*350*R85"
"G-2722G"	"670*350*R85"
"G-2722G"	"670*350*R85"
"G-2732GB"	"728*468*R113"
"G-2820"	"670*350*R85"
"G-2820G"	"670*350*R85"
"G-2820G"	"670 × 350 mm R85"
"G-2820GB"	"670*350*R85"
"G-2820GBN"	"670*350*R30"
"G-2825AG"	"670*350*R85"
"G-2825AGBN"	"670*350*R85"
"G-2825G"	"670*350*R85"
"G-2830"	"728*468*R113"
"G-2830KG"	"728*468*R113"
"G-2830KSN"	"728*468*R113"
"G-2835AG"	"728*468*R113"
"G-2922"	"670*350*R85"
"G-2922A"	"670*350*R85"
"G-2922AG"	"670*350*R85"
"G-2922AGB"	"670*350*R85"
"G-2922G"	"670*350*R85"
"G-2922GB"	"670*350*R85"
"G-2926"	"670*350*R85"
"G-2926G"	"670*350*R85"
"G-2926GB"	"670*350*R85"
"G-2928"	"728*468*R113"
"G-2928G"	"728*468*R113"
"G-2928GB"	"728*468*R113"
"G-2928GBN"	"728*468*R113"
"G-2932AG"	"728*468*R113"
"G-2932A"	"728*468*R113"
"CV282101"	"782*492*R5"
"EGT-9239CK"	"832*470"
"G-2932AGB"	"728*468*R113"
"G-2932B"	"728*468*R113"
"G-2932G"	"728*468*R113"
"G-2932GB"	"728*468*R113"
"G-360"	"670*350*R85"
"G-360GB"	"670*350*R85"
"RB-F218G"	"670*350*R85"
"SG-6700-4CM"	"670*325"
"EGT9627CK"	"832*470"
"EG-2331G"	"680*410"
"D-2600GB"	"670*350*R85"
"G-6120"	"670*350前沿8"
"G-6320K"	"670*350*R10"
"G-2522AGB"	"670*350*R85"
"G-6500KG"	"672*340*R10前沿8公分"
"G-6513S"	"崁入爐挖孔:670× 350*R10"
"G-6600K"	"670 × 325 mm"
"VHI-72520ATU"	"710*410"
"VHI-72520ATU"	"670*350*R10-8CM"
"G-6700KSN-4CM"	"672 × 327*R5
(嵌入爐前沿8CM)"
"G-6900"	"尺寸705*450*235
挖孔675*330-前8開挖"
"G-9511"	"670*350*R30"
"G-9511GB"	"670*350*R30"
"G-9511KGB"	"670*350*R30"
"G-9520"	"670*350*R85"
"G-9520G"	"670*350*R85"
"G-9520GB"	"670*350*R85"
"G-9522"	"670*350*R85"
"G-9522G"	"670*350*R85"
"G-9522GB"	"670*350*R85"
"G-9630AG"	"728*468*R113"
"G-9630G"	"728*468*R113"
"G-9630KGB"	"728*468*R113"
"G-9632K"	"728*468*R113"
"G-9633S"	"728*468*R113"
"G-9720KGB"	"670*350*R85"
"G2522S"	"670*350*R85"
"G-2820"	"670*350*R85"
"G2825G"	"670*350*R85"
"G2928"	"挖孔尺寸:728 × 468 mm  R113"
"G2932AG"	"728*468*R113"
"GAGGENAU"	"272*492*R5"
"JT-GC209A"	"670*350*R85"
"GC-388A"	"挖洞(W)725 x (D)465 / 92.5 mm"
"GH-2907"	"286*492*R5"
"GH-2957"	"286*492*R5"
"GH-401"	"W670*D350*R20"
"GH-7050-R"	"704*412"
"GH-9050"	"833*475*R5"
"GH7050-L"	"704*412"
"SG-2300EW"	"728*468*R113"
"GS-216Q"	"660*350*R60(前沿7cm)"
"GS-231Q"	"670*350*R65"
"GS-293"	"670*350*R30"
"GS-297"	"660mm *330 mm R60"
"GS-297Q"	"660*330*R60"
"RBTS-N212GNB"	"670*350*R30"
"G-211GB"	"285*485*R12"
"IR-9330HS"	"860*380"
"G-2623GB"	"728*468*R113"
"ICBIM15/S"	"356*489"
"ICBCT15G/S"	"356*489"
"MB-201GN"	"670*350*R85"
"SG-2720G"	"670*350*R30"
"RB-F2720G"	"725*465*R85"
"RBTS-N201S"	"670*350*R10"
"JT-120S"	"670*350"
"G-2720G"	"670*350*R30"
"G-270KGB"	"670*350*R85"
"IR-2339"	"720*425"
"IZ-7210"	"695*360"
"PXY675DC1E"	"562*492*R5"
"RB-1132H"	"280*507
面300*520"
"EG2120GB"	"280*355"
"GH-7050"	"704*412*R5"
"RB-37GB"	"725*465*R85"
"EG-2120"	"280*355"
"JT-GC209AW"	"670*350*R85"
"TID3580"	"570*375"
"RBG-N71W5G"	"560*465*R30(前沿6.5)"
"PD-701WS-75CK"	"565*460*R10(前沿6.5)"
"G-6120K"	"670*350前沿8"
"JT-2209A"	"670*350*R85"
"RB-201S"	"670*350*R85"
"EGT7427 CK"	"732*421"
"PI-3512TE"	"285*490"
"G-9633G"	"728*468*R113"
"takara"	"808*532*R65"
"EG-2320GB"	"停產570*375"
"G-2623AGW"	"728*468*R113"
"KZ-G32AST"	"560*460*R30"
"JT-GC299AL"	"機體770x520x115
挖孔725x465XR92.5"
"G-2633GBN"	"機體尺寸775 × 520 × 130 mm
挖孔尺寸728 × 468 mm R113"
"JT-GC299AW"	"670*350*R85"
"PKY875KW1E"	"750*490*R5"
"RB-F218GB"	"670*350*R85"
"G-2922"	"670*350*R85"
"JT-3002A"	"725*465*R92.5"
"LC-9000S"	"670*350多田牌崁入爐"
"TG-8503"	"670*350*R85"
"X2 6000MB TW"	"710*410"
"ITF6320"	"560*490"
"G-2522S"	"670*350*R85"
"VG231220CA"	"268*492"
"VG232220CA"	"268*492"
"WLS3777NEP"	"W750*D480~492mm"
"RB-F2610G"	"670*350*R85"
"S-3000"	"837*475"
"IRF-9430"	"860*490"
"PD-821WS-75CV"	"560*460*R20前沿6.5開挖"
"PD-809WS-75CV"	"565*460*R10前沿6.5開挖"
"JT-EB522"	"直徑11"
"G-2622"	"728*468*R113"
"G-9521"	"670*350*R85"
"EG-2320"	"570*375"
"KM-7564"	"600*500"
"JH-IH238"	"720*420"
"KM-6839"	"752*492"
"PMD82F31MP"	"680*350*R20"
"HIP-72B2 S2"	"710*410"
"G-9732G"	"728*468*R113"
