"爐子型號"	"爐子挖孔尺寸"
"KL-167"	"外徑：710 X450 X 225 mm
內徑：680X 420X 220 mm
前沿70開挖685X424"
"KL-167-1"	"外徑：335 X455 X 210mm
內徑：300X 420X 200 mm"
"KL-168"	"外徑：820 X520 X 230 mm
內徑：760 X 460X 215 mm
前沿55開挖801X504"
"KL-168FN"	"外徑：820 X520 X 230 mm
內徑：760 X 460X 215 mm
前沿55開挖801X504"
"KL-168"	"外徑：820 X520 X 230 mm
內徑：760 X 460X 215 mm
前沿55開挖801X504"
"KL-168F"	"外徑：820 X 520 X 230 mm
內徑：760 X 460 X 215 mm"
""	""
"JT-GC212S"	"670*350(R0)"
"KL-168N"	"外徑：820 X520 X 230 mm
內徑：760 X 460X 215 mm"
"KL-168N"	"外徑：820 X520 X 230 mm
內徑：760 X 460X 215 mm
前沿55開挖801X504"
"KL-172"	"外徑：860 X520 X 220mm
內徑：785X 445X 200 mm"
"KL-301"	"外徑：620 X480 X 205mm
內徑：560X 410X 200 mm
前沿70開挖602X461"
"KL-301A"	"外徑：620x480
內徑：560x410
前沿70開挖600X450"
""	""
""	""
"KL-302"	"外徑：560 X 455 X 175 mm
內徑：510 X 400 X 170 mm
前沿70開挖545X453"
"KL-501"	"內徑：670 X 410 X 200 mm
前沿70開挖672X421"
"KL-502"	"前沿55開挖748X420"
"PUE611BB5E"	"560 x (490 - 500)"
"VB-880"	"660×350mm"
"KL-502"	"內徑：740X 420 X 200mm"
"KL-504"	"內徑：600 X 410 X 200 mm"
"KL-505"	"內徑：560 X 410 X 210 mm"
"KL-506"	"內徑：520 X 430 X 200 mm"
"KL-601"	"外徑：700X510
內徑：650 X 460
前沿70開挖680X490"
"KL-605L"	"外徑：780X510
內徑：730 X 460"
"KL-605R"	"外:780*510
內:730*460
"
"KL-668"	"外徑 820x520x230 mm
內徑 : 760x460x215 mm"
"KL-668N"	"外徑：820X520 X 230mm
內徑：760X 460X 215mm
前沿55開挖801X504"
"KL-8475"	"外徑：740X 470 X 190mm
內徑:700X420MM"
"KL-8696"	"外徑尺寸 : 965*470
內徑尺寸 : 915*420"
"KL-9456"	"外:560X460
內:520X420"
"KL-9467"	"外:670*460*220
內:630*420*220"
"KL-9467"	"前沿60開挖629X415"
"KL-9474"	"外徑：740X 460 X 220mm
內徑：700X 420 X 220mm
前沿70開挖699X416"
"KL-9477"	"外徑 : 770 x460 x 220 mm
內徑 : 730 x 420x 220  mm"
"kL-9487"	"外徑：870X460 X 220mm
內徑：830X 420X 220mm
前沿50開挖830X420"
"KL105"	"外徑 780 x 510 x 230 mm
內徑 : 730x 460 x 215 mm
前沿70開挖757X487"
"KS-740F"	"外徑：740 X 515X 185 mm
內徑：7205 X 495/425 X 185 mm"
"KS-740F"	"前沿60開挖712X487"
"KSSX 8100"	"尺 寸：W 80 X D 45 X H 22.5 cm"
"KSSX-4830R"	"尺寸：W 483 X D 508 X H 254 mm"
"KSSX-8100"	"尺 寸：W 80 X D 45 X H 22.5 cm"
"KSSX8100"	"尺 寸：W 80 X D 45 X H 22.5 cm"
"710x368"	"710x368"
"KY-C113A"	"300*377"
"KY-E2270"	"712*368*R3"
"KY-E227B"	"715*412"
"KY-E227D"	"710*368*R3"
"KY-E227D"	"安裝尺寸710*368*R3"
"KY-E227D-L"	"710*368*R3"
"KY-E227DH"	"710*368*R4"
"KYE-227DH"	"710*368*R4"
"L-5115"	"外:460*380"
"L5113"	"外:530*390"
"L530K"	"W470*D440MM"
"L546GU"	"外徑 550 x 400 
前沿100開挖480X335"
"KY-A227E"	"710x368"
"L548GU"	"外徑 600x420
"
"L710CGUR"	"挖340*380*R10 
離後牆2公分"
"L762E"	"尺寸:530*450*15mm"
"LG-3031"	"660*350*R60(前沿7cm)"
"LG-3033"	"挖孔尺寸 660*330*R60mm"
"LUX30.2G"	"284*484*R5"
"LW-540E"	"W590xD415mm"
"LW1616"	"外徑:600*460
挖孔:參考圖面"
"LW1616CB"	"尺寸:W600xD460xH70mm"
"LW540E"	"外徑尺寸 :590×415
內徑尺寸 :540×345(有厚度)"
"LW711RCB"	"挖孔400x370xR10 離牆3Cm開挖
外徑600X500 靠牆"
"LW727CGUR"	"外徑 500x450
挖孔 478x365*R5"
"M8547-2"	"前沿70開挖800X420"
"MB-200GD"	"670*350*R85"
"MB-200GD"	"670×350(R85)"
"MB-200GF"	"670*350*R85"
"MB-200GH"	"670*350*R85"
"MB-200GF"	"670*350*R85"
"MB-200GN"	"670*350*R85"
"MB-200SD"	"670*350*R85"
"MB-200SD/WD"	"670×350(R85)"
"MB-201GF"	"725*465*R85"
"MB-201GN"	"670*350*R85"
"MB-201SF"	"725*465*R85"
"MB-201SN"	"670*350*R85"
"MB-220GH-TY"	"670×350(R85)"
"MB-26GN"	"670*350*R85"
"MB-300GB"	"815*405"
"MB-300GD"	"725*465*R85"
"MB-300GD"	"挖孔:W725ｘD465mm(R85"
"MB-300GD(左)"	"725*465*R85"
"MB-301GF"	"725*465*R85"
"MB-301GF"	"725×465*R85"
"MB-301SF"	"725*465*R85"
"MBTS-201SN嵌爐"	"670*330*R10"
"MG-300GD"	"725*465(R85)"
"MG-300SD/WD"	"725*465(R85)"
"MJGL-1917"	"外徑: 485*433       
內徑 : 433*380"
"MJGL-3018"	"外徑：762X 457
內徑：711 X 406
前沿70開挖720X415"
"MJGL-3018"	"前沿70開挖720X415"
"MJGL-5540"	"外徑: 600*450*210MM
內徑: 550*400"
"MJGL-6040"	"外徑: 650 x 450 x 230 mm
內徑:  600 x 400 mm
前沿75開挖700X364"
"MJGL-8040"	"外徑 850 x 450 x 230 mm
內徑 : 800x 400 "
"MJGL-8040"	"前沿70開挖800X399"
"MJGL3018"	"外徑：762 X457 X 230mm
內徑：711X 406 mm"
"MJGL6040"	"外徑 : 650 x 450 x 230 mm
內徑 : 600 x 400 mm
前沿56.5開挖597X396"
"MN-100XL-79
下嵌18F"	"前沿75開挖700X364"
"N71W5GA"	"560*460*R30"
"N801BIA"	"外徑尺寸 :834*554(65深枱面)
內徑尺寸 :800*430"
"NEM-5466UC"	"560*490"
"no.UON 7610"	"外徑 760x500(挖大或挖小)
內徑 : 690x400"
"NRC3WD6PDASR"	"560*460*R30MM"
"OSG-2329G"	"710*400*R5"
"PC930"	"842*477*R5"
"PCN731"	"挖560*480*R5
面750*510*33"
"PCW915B90T"	"850*492 (無R角)"
"PD-AF61WV-75"	"560*460*R30"
"PD-AF61WV75CV"	"565*460*R10-6.5CM"
"PDK-330TS"	"外:870*500*210mm
前沿70開挖841X471"
"PDK-F303TS"	"外徑：760X 480 X 220mm
內徑：710X 430"
"PDK-FR105"	"外徑 440x490
內徑 : 400x450"
"PDS-850"	"外:850X515
前沿70開挖818X485"
"PDS-850W"	"水槽尺寸: W850xD515xH204mm"
"PDS850"	"外徑 : 850x515x204mm"
"PDS850"	"前沿70開挖813X480"
"PH-3200ZT"	"492*287"
"PHN-932"	"837*477*R5"
"MB-220GH"	"670*350*R85"
"PI-7551 PSTK"	"挖:760X500XR10
機體:770X520X80"
"PI-7551-PSTK"	"挖:760X500XR10
機體:770X520X80"
"PI-7551RSTK"	"挖:760X500XR10
機體:770X520X80"
"PIB375FBIE"	"機:306*527
安:272*498*R5"
"PKF-375FP1E"	"272*492*R5"
"PKF375FP1E"	"272*492*R5"
"PKF375V14E"	"272*492*R5"
"PKK651FP1E"	"560*490"
"PKY475N14W"	"360*490"
"PPI-82560TW"	"702*402*R20"
"PPI82560TW"	"702*402*R20"
"PPU816B1TT"	"562*482*R5"
"PPW916B2TT"	"850*490*R5"
"PRA326B70E"	"272*492*R5"
"PRA326B90E"	"272*492*R5"
"PRB326B70E"	"272*498*R5"
"PRB326B90E"	"272*492*R5"
"PRW926B20T"	"850*490~502"
"PXE675DE4E"	"562*492*R5"
"QUADRA100-U"	"外徑：W380 x H220 x D440 mm

內徑：W340 x D400 mm"
"R79-97"	"外徑:790*500
挖孔:770*480*R10"
"RB-100GH"	"270*492*R5
面310*520"
"RB-100GN"	"270*492*R5"
"RB-1130H"	"282*509*R5"
"RB-1131H"	"280*507*R0
面300*520"
"JT-IH239S"	"670x350 ∕ R85"
"RB-11N-C-TR"	"機:310*521.5
挖:270*492*R5"
"RB-12C-C-TR"	"270*492*R5"
"RB-200GD"	"670x350xR85"
"RB-200GN"	"670*350*R85"
"RB-200SH"	"670*350*R85"
"RB-F2620"	"670*350*R85"
"KY-X1131"	"268*500*R5"
"PKK651FP8E"	"560*490"
"PXX675DC1E"	"挖882*492
面916*527"
"RB-A3760GBL"	"725x465x(R85-R113)"
"RB-200SH"	"670×350(R85)"
"RB-201GH"	"670×350(R85)"
"RB-201GN"	"670*350*R85"
"RB-201SN"	"670*350*R85"
"RB-202GH"	"670*350*R85"
"G-2929"	"670*350*R85"
"G-2929G"	"670*350*R85"
"RB-202GH(B)"	"670*350*R85"
"RB-209GF"	"670*350*R85"
"RB-A2660G"	"670*350*R85"
"RB-212G"	"670*350*R85"
"RB-F2720GB"	"725*465*R85"
"RB-2710G"	"725*465*R85"
""	""
"PL-691"	"680*380*R45"
"RB-212G(B)"	"670*350*R85"
"FIH-3210"	"挖268*500
面288*520 "
""	""
""	""
"RB-A3760GBR"	"725x465x(R85-R113)"
"RB-219G"	"670*350*R85"
"RB-2230H"	"722*427*R5"
"RB-2231H"	"722*427*R5"
"RB-22GB"	"670*350*R85"
"RB-2331H"	"722×427xR5"
"RB-25"	"670*350*R85"
"RB-25-L"	"670*350*R85"
"RB-25L"	"670*350*R85"
"RB-26F"	"670*350*R85"
"RB-26GF"	"670*350*R85"
"RB-26GF(B)"	"670*350*R85"
"RB-26GN"	"670*350*R85"
"RB-271GF嵌爐"	"670*350前沿8"
"RB-27F"	"725*465*R85"
"RB-27GF"	"725*465*R85"
"RB-2CG"	"705×405*R5"
"EX975KXV1E"	"882*492"
"RS-721W9S8R"	"560*460*R20-6.5開挖"
"PD-721WS-75CV"	"565*460*R10(前沿6.5開挖)"
"RB-2CGB"	"703*403"
"RB-2CGT"	"705×405*R5"
"RB-2CGB"	"703*403"
"RB-2CGS"	"705×405*R5"
"RB-2CGS(B)"	"挖708*408*R10
原703*403"
"RB-2GMB"	"670*350*R5"
"RB-2GMB"	"外觀尺寸:750×132.6×450
挖孔尺寸:670×350(R0)"
"RB-300GD"	"725*465*R85"
"RB-300GN"	"815*405*R0"
"RB-300SH"	"725*465*R85"
"RB-A3760G"	"725x465x(R85-R113)"
"X2-6000MB TW"	"710*410*R0"
"PD-819WS-U75GH"	"565*460*R10
(爐連烤前沿6.5開挖)"
"PD-819WS-75CV"	"""565*460*R10
(爐連烤前沿6.5開挖)"""
"EG2300G"	"560*490"
"RB-300SH"	"725*465(R85)"
"RB-301GH"	"725*465*R85"
"RB-301GH"	"725*465(R85)"
"RB-302GH"	"725*465*R85"
"302GH"	"725*465*R85"
"G-2830GB"	"728*468*R113"
"G-9511KG"	"670*350*R30"
"RB-31A"	"725*463*R90"
"SB-3208"	"835*475"
"RB-31B"	"725*465*R85"
"RB-350GN-4CM"	"565*460*R10(爐連烤前沿6.5開挖)"
"EG-2331GB"	"680×410"
"RB-37F"	"725*465*R85"
"RB-37G"	"725*465*R85"
"RB-37GF"	"725*465*R85"
"RB-3CG"	"825*415*R10"
"RB-3CG(B)"	"825*415*R10"
"EG2351G"	"680×410"
"RB-3CGB"	"825*415*R10"
"RB-3GMB"	"815*405"
"RB-F212G"	"725*465*R85"
"RB-F212GB"	"725*465*R85"
""	""
"RB-F219G"	"670*350*R85"
"RB-F312G"	"725*465*R85"
"RB-F312"	"725*465*R85"
"RB-F312GB"	"725*465*R85"
"RB-F321G"	"725*465*R85"
"RB-H301S"	"725×465(R85)"
"RB-N212"	"670*350*R85"
"EX375FXB1E IQ700"	"272*492"
"EX375FXB1E"	"272*492"
"RB-N212G"	"670*350*R85"
"RB-N212GB"	"670*350*R85"
"RB-N312G"	"815*405*R5"
"RB-N312GB"	"815×405*R0"
"RB71AM3B1S-VW-TR"	"565*460*R10前沿6.5"
"RB71AM3BIS-VW-TR"	"565*460*R10-6.5CM"
"RB71AMSB1S"	"565*460*R10前沿6.5"
"RBF-312GB"	"挖孔:725*465 R85"
"RBF312G"	"725×465(R85)"
"RBG-350GN"	"565*460*R10-6.5CM"
"PD-819W-75GZ"	"565*460*R10(前沿6.5)"
"RBG-350GN-TR"	"565*460*R10(前沿6.5)"
"RBG-N71W5GA"	"565*460*R10(前沿6.5)"
"RBG-N71W5GA-3X-SV"	"565*460*R10(前沿6.5)"
"RBG-N71W5GA3X-SVL"	"565*460*R10前沿6.5"
"RBS71W31E12RCSTW"	"565*460*R10前沿6.5開挖"
"RBR-U51SV"	"565*460*R10前沿6.5"
"RBTS-200SN"	"670*350*R30"
"RBTS-201GN"	"670×350*R30前沿8"
"RBTS-201SN-4CM"	"662*319*R5崁入爐"
"RBTS-227GC-B-4CM"	"挖孔:662*319*R5
(嵌入爐前沿8CM開挖)"
"RBTS-271GF-4CM"	"662*319*R5崁入爐前沿開挖八公分"
"RF-101"	"313*333"
"G-360G"	"670x350xR85"
"RF-106"	"310*330"
"RF-107"	"662*382*R5"
"RHS71W15G7R30-STW"	"570*465*R30(前沿6.5)"
"RB-N2630G"	"670*350*R85"
"RHS71W23L7RSTW-13A"	"565*460*R10(前沿6.5)"
"RHS72W22E2RC-STW"	"565*460*R10(前沿6.5)"
"HIP-72B2S2"	"710*410"
"RHS72W22E4RC-STW"	"565*460*R10(前沿6.5)"
"RHS72W22E6RC-STW"	"565*460*R10(前沿6.5)"
"RHS72W22ERC-STW"	"565*460*R10(前沿6.5)"
"RS721W958R-VR-TR-4CM"	"挖孔:565×460xR10(爐連烤前沿6.5開挖)"
"RS721W9S8R"	"565*460*R10(前沿6.5)"
"RS721W9S8R-VR-TR"	"565*460*R10(前沿6.5)"
"RS721W9S8R-VR-TR"	"565*460*R10(前沿6.5)"
"EHI3251BE"	"270*490*R5
面300*520"
"RSK-N78W6GG1X5-AR"	"565*460*R10(前沿6.5)"
"S-5860"	"670 × 320"
"SA"	"前沿50開挖787X557"
"SA-R"	"前沿50開挖787X557"
"SAG-315"	"705*400*R30"
"SB"	"外:88.7
內:820*485*183
挖:85.5"
"SB-1020"	"298*468*R12"
"SB-2020"	"298*468*R12"
"SB-2109"	"728*468*R92.5"
"SB-2170"	"728*468*R92.5"
"SB-2170"	"728*468*R92.5"
"SB-2182"	"668*403*R92.5"
"SB-2183"	"668*403*R92.5"
"SB-2206"	"670*350*R85"
"SB-3008"	"728*468*R92.5"
"SB-3100"	"836*474"
"SB-3109"	"728 × 468 R92.5"
"SB-3200"	"837*477*R5"
"SC-600"	"內徑：600X410 X 200mm
前沿70開挖610X419"
"SC-630"	"內徑：630 x 430 x 220 mm"
"SCHOCK MN-100XL-87"	"外徑:83.8 x 53 x 24(挖大或挖小)
內徑:76.8X41.4"
"SCHOCK MN-100XL(延用水槽)"	"前沿80開挖768X413"
"SD"	"內:650*485*183"
"SE-1092"	"挖308X328
面330X350X87"
"SE-1690-0"	"外徑：690 X420 X 220mm
內徑：650X 420X 200mm
前沿70開挖655X427"
"SE-2400"	"外徑：400 x 530 x 210 mm
內徑：350 x 420 x 210 mm"
"SE-640-w"	"外徑：640X 490 X 220mm
內徑：560X 410 X 220mm
前沿70開挖613X462"
"SE-760"	"外徑: 760×520×220H        
內徑 : 685×445×210H"
"SE-820"	"外徑尺寸 : 830×520×220H
內徑尺寸 : 750×445×210H"
"SE-820PB-0"	"外　　徑：820 x 520 x 220 mm
內　　徑：750 x 455 x 220 mm"
"SE-820PB-0"	"前沿65開挖792X492"
"SE-830-1"	"外徑：830X525 X 220mm
內徑：750X 452X 200mm"
"SEM-88S"	"750*490 MM"
"SERIES 93S"	"挖孔尺寸：805×445 mm"
"SG-2511"	"670*350*R30"
"SG-2522G"	"670*350*R85"
"SG-2623GB"	"728*468*R113"
"SG-9630G"	"728*468*R113"
"EG2100G"	"270*490"
"SGFH706741C"	"510*410"
"SH-150T"	"315*375"
"SH-180T"	"315*375"
"PIB375FB1E"	"機:306*527
挖:272*498*R5"
"SK"	"前沿50開挖875X556(枱面須65深)"
"SK-2051P"	"670*350*R10-8CM"
"SK-ESINK"	"前沿50開挖875X556"
"SKL-301"	"外徑：620 X480 X 205mm
內徑：560X 410X 200 mm"""
"SKL-301F"	"外徑：620 X 480 X 205 mm
內徑：560 X 410 X 200 mm"
"SKL-301F"	"前沿70開挖602X461"
"SMEG P-772"	"560*490"
"SN-175-87"	"前沿106開挖900X494"
"SPDL-860"	"外徑 : 860 x 520 x 215 mm
內徑 : 785 x 445 x 215 mm"
"SPDL-860"	"前沿70開挖828X486"
"SQD101-601W"	"外740*455"
"SRV573XGT"	"560*478"
"ST-2172"	"668*403*R92.5"
"ST-2173"	"668*403*R92.5"
"HT-N8STF"	"挖565*460*R10
前沿6.5開挖"
"ST-2173"	"668*403*R92.5"
"ST-3002"	"728*468*R92.5"
"ST-3038"	"728*468*R92.5"
"ST-3139"	"728*468*R92.5"
"STL-102"	"315*335"
"STL-500A"	"535*305"
"STL-500B"	"678*415"
"SUBLINE 400-U(挖大或挖小)"	"外徑尺寸：430*460mm
內徑尺寸：400*400mm"
"SUBLINE 500-U"	"外徑：530x460
內徑：500x400"
"SUBLINE 800-U"	"外徑：830x460(挖大或挖小)
內徑：800x400
前沿75開挖810X408"
"SUBLINE700-U"	"外徑:730x430
內徑:700x400
前沿65開挖706X406"
"花崗岩水槽700-U"	"外徑:730x430
內徑:700x400
前沿65開挖706X406"
"700-U"	"外徑:730x430
內徑:700x400
前沿65開挖706X406"
"SUS-443Z"	"外徑:830x550x205mm
內徑:770x490x205mm"
"SUS304-ZM"	"外徑尺寸：480*790mm
內徑尺寸：430*740mm"
"SUS443"	"外徑 : 830 x 550 x 205 mm
內徑 : 770x 490 x 205 mm"
"SV"	"外:732*585
內:670*520(枱面須65深)
前沿50開挖708X560"
"SV-ESINK"	"前沿50開挖708X560"
"SVAGO CS-680"	"前沿70開挖712X487"
"SVAGO-TSR-1803"	"274*350*R10"
"SVAGOTSR-1503"	"274*350*R10"
"SVAGOTSR-1803"	"274*350*R10"
"T-450"	"450*420"
"T-V08"	"外徑：790 X 485 X 230 mm
內徑：712 X 407 X 230 mm
挖:前沿70: 760 X 454"
"T-V08"	"前沿70開挖760X454"
"PC-3225"	"670*340"
"RB71W23L1R5-STW-TR"	"570*470*R20-6.5"
"RB-3CGT-TR"	"機體:853*130*434
挖孔:820*410*R5"
"RB-12S-C-TR"	"268*490"
"G-6903嵌爐"	"670*350前沿8"
"G-6110KS嵌爐"	"670*350前沿8"
"G-6902嵌爐"	"670*350前沿8"
"RHS72W22E4R2D-STW"	"565*460*R10(前沿6.5)"
"TG-8311G"	"670*350*R85"
"SB-3205"	"728*468*R92.5"
"PD-831WST"	"560*460*R20"
"PC-930"	"835*475"
"PIE375N14E"	"272*492*R5"
"PRA 326B"	"272*492*R5"
"CT-1935"	"外935*490
內860*410"
"PPW9A6B20T"	"852*495*R5"
"CK 200B"	"Ø12.5"
"EG-2202G"	"670*350*R85
面750"
"PXX375FB1E"	"挖272*498*R5
面306*527"
"RB-A2600G"	"670*350*R85"
"G-2523YG"	"670*350*R85"
"RB-L301S"	""
"MB-100GD"	"285*465"
"PC31GNOTW"	"254*480*R5"
"RB32AM5H2S-BW"	"565*460*R10(前沿6.5開挖)"
"T-V08"	"前沿70開挖760X454"
"RB-L2600S"	"670×350xR85"
"JH-IH239SR"	"670x350xR85"
"G-211G"	"285*485*R12"
"RB-A3760S"	"725x465(R85-R113)"
"SG-9511G"	"670*350*R30"
"SR-150T"	"259*271"
"RHS71W31E12VCASTW"	"565*460*R10(前沿6.5開挖)"
"SB-2207"	"670*350*R85"
"VEG2670"	"W560xD480"
"RB-N2611G"	"670*350*R85"
"DTG1288XC"	"挖280*485*R5
面308*518"
"TE-7846"	"前沿80開挖734X413"
"TEKA IB-321"	"產品尺寸：W300 X H60 X D520mm
安裝尺寸：W270X D500mm"
"TEKA IR721"	"697*362*R5"
"TEKAIR721"	"697*362*R5"
"TG-320SV嵌爐"	"660*320*R5"
"TG-7703"	"670*350*R10"
"MB-201G"	"670*350*R85"
"嵌爐"	"670*350前沿8"
"RB71AM5U325-VW-TR"	"560*460*R30"
"G-6330嵌爐"	"670*350*R10前沿8"
"TG-7703嵌爐"	"670*350*R10前沿8"
"TG-8501G"	"670*350*R85"
"TG-8503G"	"670*350*R85"
"TG-8506G"	"670*350*R85"
"TG-8507G"	"670*350*R85"
"TG-8533G"	"728*468*R113"
"TG-8536G"	"728*468*R113"
"FMY 808 I FP BK"	"750x490mm"
"TI-620"	"外徑 620x470x205 mm
內徑 : 560x410x200 mm"
"TI-620"	"前沿70開挖595X445"
"TID-7222"	"750*490*R5"
"TID-3510"	"268*500"
"TOTO-LW711"	"挖孔400x370xR10 離牆3Cm開挖
外徑600X500 靠牆"
"TRS-1503"	"274*350"
"TRS-635"	"560*490*R5"
"TSR-1503"	"274*350"
"TSR-1803"	"274*350"
"TV-08"	"外徑：790 X 485 X 230 mm
內徑：712 X 407 X 230 mm"
"T-V08"	"前沿70開挖760X454"
"TV-08"	"前沿70開挖760X454"
"U-2584"	"外徑:840*460
內徑:800*420
"
"U1-600"	"外:690*500
內:600*410"
"U1-790"	"外徑：790 X 525 X 215 mm
內徑：680 X 415 X 200 mm"
"U1-815"	"外徑尺寸 : 830×520×235
內徑尺寸 : 740×430×200"
"U2-962"	"外:960*500
大內:630*430小內:225*370
"
"UQADRA100-U"	"安裝尺寸：W340 x D400 mm"
"EG-2351"	"680*410"
"IBS-32930"	"W268xD500
W300xD510"
"G1110"	"685*375"
""	""
"VE-230934"	"268*490"
"VE-231234"	"268*490"
"VG232220CA"	"268*492"
"VG231234RK"	"288*510"
"VG232234RK"	"挖268*490
面288*510"
"VHI-72520"	"712*412*R5"
"G-9922AG"	"670 x 350 (R85) (同G-2922AG)"
"G-9922AG"	"670 x 350 (R85) (同G-2922AG)"
"VHI-72520 TU"	"712*412*R5"
"VHI-72520STV"	"710*410*R5"
"VHI-72520TU"	"712*412*R5"
"VHI-7252OSPU"	"710*410*R5"
"VHI-72520STU"	"710*410*R5"
"VI-230"	"272*492*R3"
"W-168"	"前沿55開挖801X504"
"WA1430"	"直徑10公分外徑35公分"
"WKJ-300R"	"外徑 1020x470 mm
內徑 : 910x402 mm"
"WL601"	"前沿70開挖680X490"
"WP-87208"	"前沿75開挖720X415"
"WP-87218"	"前沿55開挖801X504"
"WT1540"	"外:540*440
內:500*400"
"ZEPA-HG2"	"704*412"
"SA-L"	"前沿50開挖787X557"
"G-9633"	"728*468*R113"
"JT-730"	"外徑：780x510x210mm
內徑：710x445x200mm"
"RB-202GH"	"670*350*R85"
"SE-840-1"	"外徑：840 x 520 x 220 mm
內徑：760 x 455 x 220 mm"
"JT-2268S-4CM"	"機身尺寸700 x 380 x 220 mm
挖洞尺寸660 x 330 x 185 mm(嵌入爐)"
"GS330"	"挖孔尺寸:755x475 R116mm
機體尺寸： 800x500x130mm"
"SO-700"	"外徑：700 x 500 x 220 mm
內徑：630 x 430 x 220 mm"
"GU-288ST-4CM"	"670*350*R10(嵌入爐前沿8公分)"
"JT-F102"	"外徑：490X490X200mm
上緣內徑：450X450X200mm         "
"GH-2909"	"284*490"
"GH-2959"	"284*490"
"G-2825"	"670*350*R85"
"DS-750"	"尺寸:750*510*185mm
內徑:726*483*365mm"
"VI424110"	"挖745*494*R45MM"
"VG414210CA"	"挖745*494*R45MM"
"JT-KS740"	"外徑：740x510
內徑：665x435"
"JT-KS840A"	"外徑：840x510
內徑：765x430"
"JT-2208G"	"挖孔:(W)670 x (D)350 / 85 mm"
"SE-1800-1"	"外徑：800 x 545 x 220 mm
最大內徑：755 x 505 x 220 mm
最小內徑：740 x 420 x 220 mm"
"RB-N212GBN"	"挖孔尺寸W×D：670×350(R85) mm"
"DS-740"	"尺寸740*515*185 
內徑660*350*185"
"G6512"	"挖孔670 × 340*R10前沿8公分"
"N801B1A-EB"	"外834*554
內800*505"
"SI5632D"	"560*490"
"G-2921GB"	"728x468xR113"
"CO1-5001"	"外徑尺寸 610X457X205H
內徑尺寸 :544X394X205H"
"EOC5851FAX"	"嵌入尺寸: W560 x H590 x D550毫米"
"SE-1690-1"	"外　　徑：690 x 460 x 220 mm
內　　徑：650 x 420 x 220 mm"
"SE-830-W"	"外徑：830 x 525 x 220 mm
內徑：750 x 452 x 220 mm"
"MB-3700G"	"725ｘ465xR85"
"RB-F2620G"	"670*350*R85"
"KL-9449"	"外490*460*220MM
內450*420*220MM"
"SUS-7045"	"外650*430
內610*390"
"WP87810"	"外810*520*200MM"
"G-2922AGN"	"670*350*R85"
"CSK M5547"	"W550 * D470mm * H200mm"
"KSSX-7000R"	"尺寸：W 700 X D 450 X H 225 mm"
"VHI-72520STU"	"機體:765*450*55
安裝:710*410"
"AH-2C"	"675 x 400"
"IRS-943"	"機體尺寸:W900*H60*D510
安裝:W860*D490"
"TG8503GB"	"	
670×350 mm R85"
"EHL9530"	"機體尺寸：W910xD410mm
挖孔尺寸：W882xD382mmxR5"
"EHL-9530"	"機體尺寸：W910xD410mm
挖孔尺寸：W882xD382mmxR5"
"ITH-65320"	"560*490"
"JT-690"	"外徑：690x495x220mm
內徑：605x425x220mm"
"MB-201GF"	"挖孔:W725ｘD465mm(R85)"
"RB-A2760S"	"725*465*R85~R113"
"EQL-4520BOZ"	"安裝尺寸：
H38xW340xD490mm"
"I9640CCGGV/I"	"挖840*480*R10(前沿5.5)
面860*500"
"P760-C花崗岩水槽"	"尺寸：76 × 50 x 20.7cm"
"SO-830"	"740*420"
"SG-6600A"	"670*350*R10(崁爐前沿8cm)"
"DTI1041X"	"挖340*490
面380*520"
"RB27F"	"725*465*R85"
"EGT9637CKN"	"挖834x472xR5"
"DTI1101X"	"挖267*492*R5
面308*518"
"RB71AM3B1S-VW-TR "	"挖孔560*460*R30"
"RB-200GH"	"750x420
670x350xR85"
"BEST-GH9050"	"833*475"
"RB-H201S"	"670×350XR85"
"G-2620G"	"728*468*R113"
"L-546GU"	"550*400"
"RB-L3710G"	"725*465*R85"
"SAS-R"	""
"SE-780"	""
"QUADRA130U"	"產品尺寸: W760 × H220 × D440 mm

安裝尺寸: W720 × D400 mm"
"KL-101BW"	"外徑：700x510x230 內徑：650x460x215"
"KL-668W"	"外徑:820X520X230MM 內徑:760X460X215MM"
"MJGL-7540"	"外徑：800 x 450 x 210 mm內徑：750 x 400 mm"
"SE-760DA"	"外徑 : 760×520×220內徑 : 685×445×210"
"PKF375EP1E"	"270*490"
"KL-8745"	""
"AVEO7148"	""
"KL-8379"	"外徑:790X470X230內徑:740X420X220"
"SUS-340"	""
"YW7849"	""
"KL-172"	"外徑:860X520X220內徑:785X445X200"
"SO-700"	"外徑：700 x 500 x 220 mm
內徑：630 x 430 x 220 mm"
"RB-M2720GB"	"725*465*R85"
"LW540E"	"W590xD415mm"
"KL-167"	"外徑：710 X450 X 225 mm
內徑：680X 420X 220 mm"
"PDK-330"	"W870 x H210 x D500 mmW840 x D470mm"
"RBG-N71W5GA3X-SVL-TR"	"565x460xR10"
"SE-730P-5"	"外徑：730 x 520 x 220 mm
內徑：665 x 455 x 220 mm"
"LW1715B"	"W500xD370xH60mm"
"MJGL-4040"	""
"P760-C"	"76 × 50 x 20.7cm"
"C10-5001"	"720X370X220H"
"RB-M2620"	"670*350*R85"
"KL-9434"	"外徑:340X460X220內徑:300X420X220"
"KL-8450"	"外徑:500X470X220內徑:450X420X210"
"KL-166"	"外徑:800X520X225內徑:735X460X215"
"C01-5001"	"外徑:610X457X205H內徑:544X394X205H"
"542AB"	""
