brand,color,imageUrl
"ABK","米蘭白洞石","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_rpbjqhejca.jpg"
"ABK","BONE VEIN","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_rpbjqhejca.jpg"
"ABK","德布瓦-層積岩苔綠","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_aa2t26zcit.jpg"
"ABK","DOUBLE- LINEAR MINT","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_aa2t26zcit.jpg"
"ABK","德布瓦-層積岩米黃","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_9u4u8ut72t.jpg"
"ABK","DOUBLE- LINEAR BEIGE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_9u4u8ut72t.jpg"
"ABK","德布瓦-層積岩灰","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_rqpkp58gww.jpg"
"ABK","DOUBLE- LINEAR GREY","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_rqpkp58gww.jpg"
"ABK","德布瓦-層積岩白","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_qe9crrrs9f.jpg"
"ABK","DOUBLE- LINEAR WHITE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_qe9crrrs9f.jpg"
"ABK","河清海晏","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_hjaf8siux7.jpg"
"ABK","DEEP RIVER","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_hjaf8siux7.jpg"
"ABK","浮世熔岩","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_74njvp4ggv.jpg"
"ABK","QUARZITE FUSION","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24f03_74njvp4ggv.jpg"
"ABK","巴塔哥尼亞","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e31_29uewxewg3.jpg"
"ABK","PATAGONIA WOW","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e31_29uewxewg3.jpg"
"ABK","拿佛納洞石-米黃","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_6xsmd9zc2n.jpg"
"ABK","SENSI ROMA-CREAM","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_6xsmd9zc2n.jpg"
"ABK","拿佛納洞石-象牙白","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_hp9um8q8v7.jpg"
"ABK","SENSI ROMA-IVORY","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_hp9um8q8v7.jpg"
"ABK","拿佛納洞石-霜白","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_2vmy6vrsuj.jpg"
"ABK","SENSI ROMA-WHITE","https://www.marmotaiwan.com/upload/color_card_list_pic/tw_color_card_list_24e30_2vmy6vrsuj.jpg"
